iter	RMSE
644	3.543119564
645	3.53811872
646	3.534969116
647	3.529725892
648	3.524395433
649	3.521441046
650	3.516690223
651	3.510941955
652	3.505303976
653	3.502102035
654	3.499253813
655	3.494781459
656	3.490794616
657	3.485948724
658	3.482342885
659	3.478071099
660	3.474446455
661	3.471639197
662	3.468619685
663	3.465607653
664	3.462557999
665	3.457879916
666	3.45329639
667	3.449327752
668	3.442692407
669	3.439497041
670	3.43679374
671	3.432249167
672	3.430114577
673	3.426074551
674	3.420605659
675	3.418441138
676	3.413726023
677	3.408947868
678	3.405376959
679	3.40134345
680	3.396059648
681	3.391731384
682	3.388760376
683	3.385242309
684	3.379684443
685	3.374749972
686	3.370458505
687	3.367917919
688	3.364592394
689	3.361196761
690	3.35642547
691	3.352564153
692	3.347752482
693	3.34430449
694	3.340977625
695	3.335770494
696	3.332595652
697	3.327111134
698	3.32291627
699	3.320705598
700	3.317244271
701	3.312476685
702	3.307350291
703	3.303649138
704	3.298895457
705	3.293635493
706	3.290491823
707	3.287526515
708	3.283562234
709	3.279983827
710	3.278133564
711	3.275490089
712	3.272286769
713	3.269597985
714	3.264983724
715	3.260970783
716	3.258219664
717	3.254020077
718	3.251803872
719	3.249303695
720	3.24454332
721	3.240814046
722	3.237501554
723	3.232969692
724	3.229322149
725	3.226106146
726	3.224145992
727	3.22127222
728	3.215735205
729	3.210870317
730	3.206857229
731	3.204266874
732	3.201666135
733	3.198376516
734	3.19458925
735	3.190534156
736	3.188625881
737	3.184907945
738	3.18180873
739	3.176711657
740	3.173607367
741	3.170855314
742	3.167669492
743	3.165430267
744	3.160605697
745	3.157118732
746	3.153794583
747	3.149198512
748	3.146628995
749	3.144220258
750	3.14193438
751	3.13970684
752	3.136306633
753	3.133554337
754	3.130717232
755	3.128755059
756	3.124733951
757	3.120308721
758	3.119014382
759	3.114760156
760	3.110467508
761	3.105837867
762	3.102621711
763	3.099880493
764	3.095599125
765	3.090425448
766	3.085859523
767	3.08044554
768	3.077637571
769	3.074579472
770	3.07100585
771	3.066500284
772	3.063752269
773	3.061205683
774	3.056657985
775	3.053519204
776	3.050901897
777	3.04713314
778	3.044671484
779	3.039826198
780	3.035724602
781	3.03322977
782	3.031685715
783	3.028399032
784	3.025769661
785	3.022961466
786	3.019644955
787	3.015961568
788	3.01368518
789	3.008485352
790	3.005243587
791	3.002750086
792	3.00043159
793	2.998794486
794	2.993608773
795	2.991508709
796	2.988542484
797	2.986400934
798	2.982888118
799	2.979258626
800	2.977748899
801	2.975261054
802	2.971950864
803	2.968028345
804	2.964972486
805	2.962126191
806	2.959403199
807	2.955541787
808	2.951313268
809	2.948988001
810	2.947250042
811	2.942621769
812	2.939795482
813	2.936066761
814	2.933825603
815	2.930957606
816	2.928800259
817	2.924811018
818	2.922526395
819	2.92040092
820	2.916681093
821	2.914893222
822	2.912454073
823	2.9090419
824	2.906670973
825	2.9044241
826	2.902766166
827	2.898236714
828	2.896458817
829	2.894394923
830	2.892321528
831	2.889092603
832	2.884889169
833	2.882944708
834	2.880810956
835	2.876280927
